Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[beomi/KoAlpaca-v1.1a] 21155개 예제
[nlpai-lab/kullm-v2] 152630개 예제
train 167505 / val 1691 예제
베이스 모델: checkpoints/base_1b/latest.pt (step 23999)
총 5234 steps (2 epochs)
SFT 전 val loss (베이스 모델): 1.3236
epoch 0 step 770/5234 | loss 1.3624 | lr 1.92e-05 | 2879s
epoch 0 step 780/5234 | loss 1.4899 | lr 1.91e-05 | 2914s
epoch 0 step 790/5234 | loss 1.4470 | lr 1.91e-05 | 2948s
epoch 0 step 800/5234 | loss 1.1205 | lr 1.91e-05 | 2986s
epoch 0 step 810/5234 | loss 1.4555 | lr 1.91e-05 | 3022s
epoch 0 step 820/5234 | loss 1.4437 | lr 1.90e-05 | 3058s
epoch 0 step 830/5234 | loss 1.3399 | lr 1.90e-05 | 3094s
epoch 0 step 840/5234 | loss 1.3705 | lr 1.90e-05 | 3134s
epoch 0 step 850/5234 | loss 1.1090 | lr 1.90e-05 | 3172s
epoch 0 step 860/5234 | loss 1.3648 | lr 1.89e-05 | 3206s
epoch 0 step 870/5234 | loss 1.4019 | lr 1.89e-05 | 3245s
epoch 0 step 880/5234 | loss 1.3233 | lr 1.89e-05 | 3283s
epoch 0 step 890/5234 | loss 1.3462 | lr 1.89e-05 | 3318s
epoch 0 step 900/5234 | loss 1.2170 | lr 1.88e-05 | 3356s
epoch 0 step 910/5234 | loss 1.3614 | lr 1.88e-05 | 3391s
epoch 0 step 920/5234 | loss 1.2805 | lr 1.88e-05 | 3429s
epoch 0 step 930/5234 | loss 1.3253 | lr 1.88e-05 | 3470s
epoch 0 step 940/5234 | loss 1.4929 | lr 1.87e-05 | 3508s
epoch 0 step 950/5234 | loss 1.3007 | lr 1.87e-05 | 3546s
epoch 0 step 960/5234 | loss 1.3236 | lr 1.87e-05 | 3585s
epoch 0 step 970/5234 | loss 1.6830 | lr 1.86e-05 | 3621s
epoch 0 step 980/5234 | loss 1.4322 | lr 1.86e-05 | 3655s
epoch 0 step 990/5234 | loss 1.2254 | lr 1.86e-05 | 3692s
epoch 0 step 1000/5234 | loss 1.4744 | lr 1.85e-05 | 3729s
체크포인트 저장: checkpoints/sft_1b/latest.pt (step 1000)
epoch 0 step 1010/5234 | loss 1.2058 | lr 1.85e-05 | 3768s
epoch 0 step 1020/5234 | loss 1.3198 | lr 1.85e-05 | 3805s
epoch 0 step 1030/5234 | loss 1.1418 | lr 1.85e-05 | 3842s
epoch 0 step 1040/5234 | loss 1.3253 | lr 1.84e-05 | 3879s
epoch 0 step 1050/5234 | loss 1.4929 | lr 1.84e-05 | 3915s
epoch 0 step 1060/5234 | loss 1.3742 | lr 1.84e-05 | 3953s
epoch 0 step 1070/5234 | loss 1.3522 | lr 1.83e-05 | 3990s
epoch 0 step 1080/5234 | loss 1.3998 | lr 1.83e-05 | 4026s
epoch 0 step 1090/5234 | loss 1.1917 | lr 1.83e-05 | 4062s
epoch 0 step 1100/5234 | loss 1.0462 | lr 1.82e-05 | 4100s
epoch 0 step 1110/5234 | loss 1.3166 | lr 1.82e-05 | 4137s
epoch 0 step 1120/5234 | loss 1.4611 | lr 1.82e-05 | 4172s
epoch 0 step 1130/5234 | loss 1.4368 | lr 1.81e-05 | 4207s
epoch 0 step 1140/5234 | loss 1.5328 | lr 1.81e-05 | 4246s
epoch 0 step 1150/5234 | loss 1.4766 | lr 1.81e-05 | 4284s
